instance_id,brand,cpu_brand,cpu_model,cpu_type,cpu_frequency,ram_capacity,ram_type,ram_frequency,hdd_capacity,ssd_capacity,weight,dimensions,title
source0__5899,HP,Core i7 640,,Core i7 640,2.13 GHz,,,,250 GB,,,,"HP 12"" 2540p Win7 Core i7 640 2 13GHz 3GB 250GB Batt Laptop 6MONTHWTY | eBay"
source0__14158,HP,Intel Core i7,,Intel Core i7,2.67 GHz,,,,320 GB,,,,"HP EliteBook 8440p Intel Core i7 2 67 GHz 320 GB 4 GB Win 7 Professional 14 1"" | eBay"
source0__13857,HP,Intel Core i7 1st Gen .,,Intel Core i7 1st Gen .,1.73GHz,,,,300GB,,,,"HP EliteBook 8540w 15 6"" Notebook Intel Core i7 1 6GHz | eBay"
source0__17150,HP,Intel Core i3 3rd Gen .,,Intel Core i3 3rd Gen .,1.9 GHz,,,,128 GB,,,,"New HP EliteBook Revolve 810 G1 D3K52UT 11 6"" Touchscr Laptop i3 3227U 4GB 128GB 887758326275 | eBay"
source0__50407,HP,Intel Core i7 - M620 Media : DVD+/-RW,,Intel Core i7 - M620 Media : DVD+/-RW,2.67 GHz,,,,320 GB,,,,"HP EliteBook 8540w 15 6"" 1920x1080 Core i7 2 6GHz 4GB 320GB NVIDIA Gaming Laptop | eBay"
source0__5786,HP,Intel Core i7 1st Gen .,,Intel Core i7 1st Gen .,2.80 GHz,,,,320 GB,,,,HP EliteBook 8440p Laptop Core i7 2 8GHz 4GB 320GB DVDÂ±RW Windows 7 Pro Webcam | eBay
source0__15756,HP,Intel Core i7 Processor Q720 1.6GHZ,Intel Core i7 Processor Q720 1.6GHZ,Intel Core i7 Processor Q720 1.6GHZ,Intel Core i7 Processor Q720 1.6GHZ. 1.6 GHz,,,,750GB ( NEW HARDRIVE ). 750 GB,,,,HP EliteBook 8740w Quad Core i7 1 6 Q720 Laptop 750GB 8GB Win 7 Notebook Office | eBay
source0__49201,Dell,"Intel Core i5-4210U 4th Gen ( 1.7 GHz , 2.7 GHz Turbo Mode ). Intel Core i5 4th Gen .","Intel Core i5-4210U 4th Gen ( 1.7 GHz , 2.7 GHz Turbo Mode )","Intel Core i5-4210U 4th Gen ( 1.7 GHz , 2.7 GHz Turbo Mode ). Intel Core i5 4th Gen .","Intel Core i5-4210U 4th Gen ( 1.7 GHz , 2.7 GHz Turbo Mode ). 1.7 GHz",,,,1 TB SATA Hard Drive ( 5400 RPM ),,5.24 lbs ( and up based on configuration ),14.9 in . ( w ) x 0.9 in . ( h ) x 10.0 in . ( d ),Dell Inspiron 15 5547 Core i5 4th Gen 6GB 1TB Win 8 64 Bit | eBay
source0__8306,Dell,Intel Core i7 4th Gen .,,Intel Core i7 4th Gen .,1.80 GHz,,,,,,,,Dell Inspiron 15 7537 8GB Intel R Core TM i7 4500U CPU 1 80GHz Windows 8 | eBay
source0__18025,HP,Intel Core i5 2nd Gen.,,Intel Core i5 2nd Gen.,2.5 GHz,,,,320 GB,,,,"HP EliteBook 8460p 14"" 250GB Intel Core i5 2 5 GHz 8 GB Notebook 886111511143 | eBay"
source0__50067,Acer,,,,1.9 GHz,,,,500 GB,,,,"Acer Aspire E1 531 2438 15 6"" Notebook Dark Grey 500GB 4GB 887899084560 | eBay"
source0__18190,HP,Intel Core i5 2nd Gen .,,Intel Core i5 2nd Gen .,2.50 GHz,,,,500 GB,,,,"Spanish HP 2570P 12 5"" Notebook i5 3210M 4GB 500GB Win7 BT Espanol 887111811257 | eBay"
source0__51820,HP,Intel centrino duo,,Intel centrino duo,,,,,none,,,,"HP Compaq NC6400 14 1"" Notebook Parts or Repair | eBay"
source0__17926,HP,,,,,,,,320 GB,,,,"HP EliteBook 8440p Laptop 14"" LED Intel Core i7 4GB DDR3 200GB SSD Win 7 Pro | eBay"
source0__7616,HP,CORE i5-520M,,CORE i5-520M,2.50 GHz,,,,320 GB,,,,"HP EliteBook 8740w BW231US 17"" Laptop i5 520M 2 4GHz 4GB 320GB DVDRW Win 7 Pro | eBay"
source0__14231,HP,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,2.67 GHz,,,,320 GB,,,,HP EliteBook 8540w Core i7 2 67GHz 6GB 320GB Webcam Win 7 NVIDIA Gaming Laptop | eBay
source0__49639,HP Compaq,Intel Core 2 Duo,,Intel Core 2 Duo,2.00 GHz,,,,Not Included,,,,"HP Compaq NC6400 14"" Laptop Notebook Intel Core 2 Duo 2 00GHz 1GB DDR2 D Combo 616983297414 | eBay"
source0__1657,ASUS,Intel Core i5 2nd Gen .,,Intel Core i5 2nd Gen .,1.6 GHz,,,,128 GB,,,,Open Box Asus Zenbook UX21E DH52 i5 2467M 1 60GHz 4GB 128GB SSD 11 6'' Win 7 884840974178 | eBay
source0__16601,HP,Intel Core i5 3rd Gen.,,Intel Core i5 3rd Gen.,1.8 GHz Location : C1D27UT_2013-10-ROM_UVG,,,,128GB-SSD,,,,"HP EliteBook 2170P Intel Core i5 3427U 1 8GHz 4GB 128GB SSD Win7Pro 11 6"" UVG | eBay"
source0__8237,HP,Intel Core i5 3rd Gen .,,Intel Core i5 3rd Gen .,1.80 GHz,,,,,,,,HP EliteBook 2170P i5 3427U 1 80GHz 4GB RAM 320GB HD Win7 64B | eBay
source0__1714,Dell,Intel Core i7 4th Gen.,,Intel Core i7 4th Gen.,3.0 GHz,,,,1 TB,,,,Dell Inspiron 15 7000 7537 i7 4500U 8GB 1TB Hybrid 1080p Touch GT750M Wcam W8 | eBay
source0__16802,HP,Intel Core i5 3rd Gen.,,Intel Core i5 3rd Gen.,1.8GHz,,,,500GB,,,,HP Ultrabook Folio 9470M Vpro Core i5 3427U 1 8GHz 8GB 500GB Win7 Webcam Laptop | eBay
source0__16318,HP,Intel Core i7 1st Gen .,,Intel Core i7 1st Gen .,1.73 GHz,,,,1 TB,,,,HP EliteBook 8540w Intel Core i7 Q820 1 73GHz 4GB 1TB NVIDIA Windows 7 Office | eBay
source0__48750,HP,AMD Dual-Core E1-2100,,AMD Dual-Core E1-2100,1.00 GHz,,,,500 GB,,,,Brand New SEALED HP 15 F009WM Notebook AMD Dual Core E1 2100 1 0GHz 4G 500GB | eBay
source0__50272,HP,Intel Core i7 - M620 Media : DVD+/-RW,,Intel Core i7 - M620 Media : DVD+/-RW,2.67 GHz,,,,320 GB,,,,"HP EliteBook 8540w 15 6"" 1920x1080 Core i7 2 6GHz 4GB 320GB NVIDIA Gaming Laptop | eBay"
source0__52283,Lenovo,Core i5,,Core i5,2.5GHz,4GB,,,160GB,,,,Lenovo X220 Laptop Intel Core i5 2520M 2 5GHz 4GB 160GB USB 3 0 Webcam Windows 7 | eBay
source0__7947,HP,Fast Core i7 620M,,Fast Core i7 620M,2.67 GHz,,,,250 GB,,,,"Gaming Laptop Windows 7 1920x1080 HP Core i7 620M 2 7GHz 4GB 8540w 15"" 6MONTHWTY | eBay"
source0__14018,,,,,,,,,,,,,HP 8460p EliteBook Core i5 2520M 2 5GHz 4GB 500GB Webcam Win 7 Aluminium Laptop | eBay
source0__50063,HP,Intel Core i7 - M620 Media : DVD+/-RW,,Intel Core i7 - M620 Media : DVD+/-RW,2.67 GHz,,,,320 GB,,,,"HP EliteBook 8540w 15 6"" 1920x1080 Core i7 2 6GHz 4GB 320GB NVIDIA Gaming Laptop | eBay"
source0__25460,HP,Intel i7-Q720,,Intel i7-Q720,1.6GHz,,,,250GB,,,,HP EliteBook 8740w Energy Star Laptop PC i7 Vpro 8GB RAM 250GB HDD NVIDIA 2800M | eBay
source0__14886,HP,Intel Core i7 - M640 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 - M640 Operating System **** : Windows 7 Professional 64 Bit,2.67 GHz ( Not 2.8GHz ),,,,320 GB,,,,HP EliteBook 8540w Core i7 2 67GHz 8GB 320GB Gaming Laptop w Win 7 Install CD | eBay
source0__51840,Lenovo,Intel Core i5,,Intel Core i5,2.50 GHz,,,,320 GB,,,,Lenovo ThinkPad X220 Intel Core i5 2520M CPU 2 5GHz 4GB RAM 320 GB Hardrive | eBay
source0__13919,HP,Intel Core i5 2nd Gen .,,Intel Core i5 2nd Gen .,2.50 GHz,,,,320 GB,,,,HP EliteBook 8460p i5 2 5GHz 4GB 320GB DVDRW Webcam FPR ONSITE Warranty 11 2014 886111585465 | eBay
source0__7748,HP,Core I5 M520,,Core I5 M520,2.40 GHz,,,,320 GB,,,,"HP EliteBook 8740w 17"" WXGA Laptop Core i5 M520 2 40GHz 4GB RAM 320GB HDD | eBay"
source0__6547,HP,Intel Core i5 2nd Gen .,,Intel Core i5 2nd Gen .,2.50 GHz,,,,500 GB,,,,HP EliteBook 8560p Intel i5 2520M 2 50GHz 8GB RAM 500GB HDD Windows 7 Pro | eBay
source0__3372,HP,Intel Core i7 3rd Gen .,,Intel Core i7 3rd Gen .,2.60 GHz,,,,,,,,HP EliteBook 8440p Intel Core i7 620M 2 66Hz 8GB RAM | eBay
source0__51082,,,,,,,,,,,,,HP 8460p EliteBook Core i5 2520M 2 5GHz 6GB 500GB Webcam Win 7 Aluminium Laptop | eBay
source0__17268,HP,Intel Core i7,,Intel Core i7,2.67 GHz,,,,320 GB,,,,HP EliteBook 8440p Core i7 620M 2 67 Laptop 320GB 4GB Win 7 Notebook Webcam | eBay
source0__52321,,Intel Core i5 ( 2nd Gen ) 2520M / 2.5 GHz,Intel Core i5 ( 2nd Gen ) 2520M / 2.5 GHz,Intel Core i5 ( 2nd Gen ) 2520M / 2.5 GHz,Intel Core i5 ( 2nd Gen ) 2520M / 2.5 GHz. 1333 MHz / PC3-10600,,DDR3 SDRAM,1333 MHz / PC3-10600,,,5.1 lbs,9.1 in. 1.3 in,"HP EliteBook 8460p i5 2 5GHz 4GB RAM 14"" 128 SSD Windows 7 QS719US ABA Grade A | eBay"
source0__16693,Acer,Intel Core 2 Duo,,Intel Core 2 Duo,2.10GHz,,,,120GB,,,,"Acer Extensa 5620 5635 6897 15 4"" Core 2 Duo 2 10GHz 3GB 120GB Notebook | eBay"
source0__17166,HP,Intel Core i7 2nd Gen .,,Intel Core i7 2nd Gen .,,,,,250 GB,,,,HP EliteBook 8540w Intel Core i7 720QM Quad Core 1 6GHz 4GB 250GB DVD RW Win7 | eBay
source0__14866,HP,Intel Core i5 2nd Gen .,,Intel Core i5 2nd Gen .,2.6 GHz,,,,320 GB,,,,"HP EliteBook 2760p 12 1"" LED Tablet PC Core i5 i5 2540M 2 6GHz Laptop 886111677245 | eBay"
source0__17927,,,,,,,,,,,,,HP 8460p EliteBook Core i5 2520M 2 5GHz 6GB 500GB Webcam Win 7 Aluminium Laptop | eBay
source0__18325,HP,Intel Core i7 - M640 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 - M640 Operating System **** : Windows 7 Professional 64 Bit,2.67 GHz ( Not 2.8GHz ),,,,320 GB,,,,HP EliteBook 8540w Core i7 2 67GHz 4GB 320GB Gaming Laptop w Win 7 Install CD | eBay
source0__17635,HP,Intel Core i7-640M,,Intel Core i7-640M,2.80 GHz,,,,320 GB,,,,HP EliteBook 8540w Intel Core i7 640M 2 80GHz 4GB 320GB Wi Fi BT Webcam XT904UT | eBay
source0__50062,HP,Intel Core i7 1st Gen .,,Intel Core i7 1st Gen .,2.67 GHz,,,,160 GB,,,,HP EliteBook 8440p 2 67GHz Intel Core i7 4GB RAM 160GB Fingerprint | eBay
source0__17716,HP,Core i7 2620M,,Core i7 2620M,2.70 GHz,,,,250 GB,,,,"Gaming Laptop Windows 7 HP Core i7 2620M 2 7GHz 4GB 8560p 15 6"" 6month Warranty | eBay"
source0__1777,HP,AMD Turion 64 X2,,AMD Turion 64 X2,2.00 GHz,,,,160 GB,,,,HP Pavilion DV6000 DV6700 Webcam AMD Turion 64x2 2 0GHz 3GB Laptop Notebook | eBay
source0__16735,HP,Intel Core 2 Duo. Intel Core 2 Duo P8600 2.40GHz,Intel Core 2 Duo P8600 2.40GHz,Intel Core 2 Duo. Intel Core 2 Duo P8600 2.40GHz,2.40 GHz. Intel Core 2 Duo P8600 2.40GHz,2400,,,160GB SATA HDD. 160 GB,,4.7 LBS,,"HP Compaq 6930p Laptop 14"" LCD Intel C2D P8600 2 4GHz 4GB 160g DVD RW Win 7 Pro | eBay"
source0__18073,HP,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,2.67 GHz,,,,320 GB,,,,HP EliteBook 8540w Core i7 2 67GHz 8GB 320GB Webcam Win 7 NVIDIA Gaming Laptop | eBay
source0__49167,,,,,,,,,,,,,HP 8460p EliteBook Core i5 2520M 2 5GHz 4GB 500GB Webcam Win 7 Aluminium Laptop | eBay
source0__7322,,L9400 CORE 2 DUO,,L9400 CORE 2 DUO,1.86 GHz,Lenovo,,,160 GB,,,,Lenovo X200 Tablet 4 GB 160 GB 1 86 GHz Including Ultrabase Great Deal | eBay
source0__17504,HP,Intel Core 2 Duo. Intel Core 2 Duo P8600 2.40GHz,Intel Core 2 Duo P8600 2.40GHz,Intel Core 2 Duo. Intel Core 2 Duo P8600 2.40GHz,2.40 GHz. Intel Core 2 Duo P8600 2.40GHz,2000,,,80GB SATA HDD. 80 GB,,4.7 LBS,,"HP Compaq 6930p Laptop 14"" LCD Intel C2D P8600 2 4GHz 4GB 80g DVD RW Win 7 Pro | eBay"
source0__16191,Lenovo,Intel Core i5 3rd Gen .,,Intel Core i5 3rd Gen .,3.3 GHz,,,,500 GB,,,,Lenovo X230 Tablet i5 3rd Gen 4GB 500GB Win 7 Pro 64 Webcam Bluetooth 0887037498716 | eBay
source0__51482,HP,Intel Core i7 1st Gen .,,Intel Core i7 1st Gen .,2.8GHZ,,,,,,,,"HP EliteBook 8740w 17"" Laptop Intel Core i7 M640 2 8GHz 4GB RAM No HDD | eBay"
source0__17275,HP,Intel Core i5 2nd Gen .,,Intel Core i5 2nd Gen .,2.60 GHz,,,,500 GB,,,,HP EliteBook 8560p Core i5 2 6GHz 8GB RAM 500GB Drive DVDRW Win7 Pro 64bit | eBay
source0__18274,HP,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,2.67 GHz,,,,320 GB,,,,HP EliteBook 8540w Core i7 2 67GHz 4GB 320GB Webcam Win 7 NVIDIA Gaming Laptop | eBay
source0__14957,HP,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,2.67 GHz,,,,320 GB,,,,HP EliteBook 8540w Core i7 2 67GHz 4GB 320GB Webcam Win 7 NVIDIA Gaming Laptop | eBay
source0__3184,Lenovo. Lenovo,2.90 GHz Intel Core Duo. Intel. Intel Core i5 3rd Gen .,2.90 GHz Intel Core Duo,2.90 GHz Intel Core Duo. Intel Core i5 3rd Gen .,2.90 GHz Intel Core Duo. 2.5 GHz,4 MB DDR3 SDRAM,SODIMM. 4 MB DDR3 SDRAM,4 MB DDR3 SDRAM,180ssd. 500 GB,,9.2 pounds,16.40 x 7.90 x 13.10 inches,"Lenovo ThinkPad X230 12 5"" 180GB SSD Intel Core i7 3520M 2 9 GHz 4GB 0887037499270 | eBay"
source0__17695,Lenovo,Intel Core i7 3rd Gen .,,Intel Core i7 3rd Gen .,2.00 GHz,,,,250 GB,,,,"Lenovo ThinkPad x1 Carbon Ultrabook i7 3667U 2GHz 14"" 8GB 240GB SSD 3448 2D9 | eBay"
source0__3849,HP,Intel Core i7,,Intel Core i7,2.67 GHz,8GB,,,640 GB,,,,HP EliteBook 8540w Core i7 620M 2 67 Laptop 640GB 8GB Win 7 Notebook Webcam | eBay
source0__50631,Lenovo,Intel Core 2 Duo,,Intel Core 2 Duo,1.86 GHz,,,,160 GB,,,,"Lenovo ThinkPad X200 12 1"" Laptop C2D L9400 1 86GHz 2GB 160GB w Win 7 No Stylus | eBay"
source0__4120,Acer,Intel Core i5,,Intel Core i5,2.53 GHz,,,,250 GB,,,,"Acer Aspire 5742 6838 15 6"" Intel Core i5 2 53GHz 4GB RAM 250GB HD Win7 Webcam | eBay"
source0__25226,Lenovo,Intel Core i7 3rd Gen.,,Intel Core i7 3rd Gen.,2.9 GHz,,,,320 GB,,,,"Lenovo ThinkPad X230 12 5"" Core i7 3520M 2 9GHz 8GB RAM 320 GB Win 6787 0887456019080 | eBay"
source0__15813,HP,Intel Core i7 - M640 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 - M640 Operating System **** : Windows 7 Professional 64 Bit,2.80 GHz,,,,320 GB,,,,HP EliteBook 8540w Core i7 2 8GHz 4GB 320GB Gaming Laptop w Win 7 Install CD | eBay
source0__18311,HP,Intel Core i7,,Intel Core i7,2.67 GHz,4GB,,,320 GB,,,,HP EliteBook 8540w Core i7 620M 2 67 Laptop 320GB 4GB Win 7 Notebook | eBay
source0__18732,HP,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,2.67 GHz,,,,320 GB,,,,HP EliteBook 8540w Core i7 2 67GHz 8GB 320GB Webcam Win 7 NVIDIA Gaming Laptop | eBay
source0__15923,Lenovo,Core 2 Duo,,Core 2 Duo,1.86 GHz,,,,120GB,,,,Lenovo ThinkPad X200T Tablet 12 1'' SL9400 1 86GHz 4GB 120GB SSD Ultrabase 884343069463 | eBay
source0__49095,HP,,,,2.00 GHz,,,,750 GB,,,,"New Open Box HP 15 G012DX 4GB 750GB HD 15 6"" Windows 8 1 Quad Core DVDÂ±RW HDMI | eBay"
source0__49564,HP,AMD. E1-6010,Dual-Core E1-6010,Dual-Core E1-6010. E1-6010,1.35 GHz,,DDR3L SDRAM,,500 GB,,4.83 lb,,"New HP 15 6"" Laptop 500GB HDD 4GB Memory Dual Core Windows 8 HDMI Webcam WiFi | eBay"
source0__15967,Lenovo,Intel Core 2 Duo,,Intel Core 2 Duo,1.86GHz,,,,160 GB,,,,Lenovo ThinkPad X200T Core 2 Duo L9400 1 86GHz 4GB 160 GB Tablet Touch | eBay
source0__49452,HP,Intel Core i7 1st Gen .,,Intel Core i7 1st Gen .,2.66 GHz,,,,250 GB,,,,HP EliteBook 8440p Laptop Notebook i7 2 67GHz 4GB 250GB Win 7 DVDRW WiFi NVIDIA | eBay
source0__5031,Lenovo,AMD Athlon,,AMD Athlon,1.60 GHz,,,,Not Included,,,,"Lenovo X100e 11 5"" Mini Laptop Netbook IBM ThinkPad AMD Athlon 1 60GHz 2GB | eBay"
source0__14060,Lenovo,Intel Core i5 2nd Gen .,,Intel Core i5 2nd Gen .,2.50 GHz,,,,320 GB,,,,Lenovo ThinkPad X220 Multi Touch Tablet i5 2520M 2 5GHz 8GB 320GB Gobi 3000 WWAN | eBay
source0__14212,HP,Intel Core i7 - M640 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 - M640 Operating System **** : Windows 7 Professional 64 Bit,2.80 GHz,,,,320 GB,,,,HP EliteBook 8540w Core i7 2 8GHz 4GB 320GB Gaming Laptop w Win 7 Install CD | eBay
source0__18626,HP,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,2.67 GHz,,,,320 GB,,,,HP EliteBook 8540w Core i7 2 67GHz 4GB 320GB Webcam Win 7 NVIDIA Gaming Laptop | eBay
source0__18480,HP,Intel Core i5 3rd Gen.,,Intel Core i5 3rd Gen.,1.8GHz,,,,500GB,,,,HP Ultrabook Folio 9470M Vpro Core i5 3427U 1 8GHz 8GB 500GB Win7 Webcam Laptop | eBay
source0__52346,Dell,AMD Quad-Core A8-5545M processor,,AMD Quad-Core A8-5545M processor,1.7 GHz,,,,,,,,"Dell Inspiron 17 3"" WIN8 1 M731R AMD Quad Core A8 5545M 1 7GHz 8GB 1TB Laptop | eBay"
source0__3808,,,,,,,,,,,,,HP 8460p EliteBook Core i5 2520M 2 5GHz 6GB 500GB Webcam Win 7 Aluminium Laptop | eBay
source0__15144,HP,Intel Core i7 - M640 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 - M640 Operating System **** : Windows 7 Professional 64 Bit,2.67 GHz ( Not 2.8GHz ),,,,320 GB,,,,HP EliteBook 8540w Core i7 2 67GHz 4GB 320GB Gaming Laptop w Win 7 Install CD | eBay
source0__18345,HP,Intel Core i7 3rd Gen .,,Intel Core i7 3rd Gen .,2.66GHz,,,,320 GB,,,,HP EliteBook 8540w 8GB RAM 320GB HDD 2 67GHz i7 CPU Great Condition | eBay
source0__15229,,,,,,,,,,,,,HP 8460p EliteBook Core i5 2520M 2 5GHz 6GB 500GB Webcam Win 7 Aluminium Laptop | eBay
source0__51351,HP,AMD Athlon 64 X2,,AMD Athlon 64 X2,1.70 GHz,,,,120 GB,,,,HP Pavilion DV6000 DV6700 AMD Athlon 64x2 1 7GHz 3 0Gb WiFi Laptop Notebook 2055 | eBay
source0__14477,HP,Intel Core i7. Intel Core i7-620m 2.66GHz,Intel Core i7-620m 2.66GHz,Intel Core i7. Intel Core i7-620m 2.66GHz,2.66 GHz. Intel Core i7-620m 2.66GHz,4000,,,250G SATA HDD. 250 GB,,4.7 LBS,,"HP EliteBook 8440p Notebook 14"" Intel Core i7 620M 2 66GHz 4G 250g Win 7 Pro | eBay"
source0__14102,Lenovo,Core i5,,Core i5,2.5GHz,8GB,,,320GB,,,,Lenovo X220 Laptop Intel Core i5 2520M 2 5GHz 8GB 320GB USB 3 0 Webcam Win 7 Pro | eBay
source0__51445,,,,,,,,,,,,,HP 8460p EliteBook Core i5 2520M 2 5GHz 4GB 500GB Webcam Win 7 Aluminium Laptop | eBay
source0__16958,HP,Intel Core i7,,Intel Core i7,2.67 GHz,8GB,,,128 GB SSD,,,,HP EliteBook 8540w Core i7 620M 2 67 Laptop 128GB SSD 8GB Win 7 Notebook | eBay
source0__17496,HP,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,,Intel Core i7 Operating System **** : Windows 7 Professional 64 Bit,2.67 GHz,,,,320 GB,,,,HP EliteBook 8540w Core i7 2 67GHz 6GB 320GB Webcam Win 7 NVIDIA Gaming Laptop | eBay
source0__2019,HP,CORE i5-520M,,CORE i5-520M,2.50 GHz,,,,320 GB,,,,"HP EliteBook 8740w BW231US 17"" Laptop i5 520M 2 4GHz 4GB 320GB DVDRW Win 7 Pro | eBay"
source0__9224,HP,Intel Core i5,,Intel Core i5,2.60 GHz,,,,128 GB,,,,HP EliteBook 2560p 12 5 034 Intel Core i5 2540M 2 60 GHz 8 GB Memory 128 GB SSD HD | eBay
source11__1863,,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,,8 GB DDR3L,8 GB DDR3L,,1 TB HDD / 5400 rpm,,2.4 kg,,"Other Laptops & Notebooks - Acer Aspire R7-572-54208G1Tass - 15.6"" | NX.M94EA.002 for sale in Johannesburg (ID:158050553)"
source11__2023,,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,Intel Core i5 ( 4th Gen ) 4200U / 1.6 GHz ( 2.6 GHz ) / 3 MB Cache,,4 GB DDR3L,4 GB DDR3L,,128 GB - M.2 SSD,,1.4 kg,,Other Laptops & Notebooks - HP EliteBook Revolve 810 | F1N29EA for sale in Johannesburg (ID:158360141)
source11__537,,Intel Core i7 ( 3rd Gen ) 3667U / 2 GHz ( 3.2 GHz ) / 4 MB Cache,Intel Core i7 ( 3rd Gen ) 3667U / 2 GHz ( 3.2 GHz ) / 4 MB Cache,Intel Core i7 ( 3rd Gen ) 3667U / 2 GHz ( 3.2 GHz ) / 4 MB Cache,,4 GB DDR3,4 GB DDR3,,256 GB SSD,,1.61 kg,,"Other Laptops & Notebooks - HP EliteBook Folio 9470m | C3C98ES was listed for R24,958.80 on 26 Oct at 01:03 by FirstShop in Johannesburg (ID:164474473)"
source2__258,,1.7GHz Intel Core i5-3317U Dual-Core. Performance Processor 1.7GHz Intel Core i5-3317U Dual-Core Cache L3 : 3MB System Bus 5GT/s Memory,1.7GHz Intel Core i5-3317U Dual-Core. Performance Processor 1.7GHz Intel Core i5-3317U Dual-Core Cache L3 : 3MB System Bus 5GT/s Memory,1.7GHz Intel Core i5-3317U Dual-Core. Performance Processor 1.7GHz Intel Core i5-3317U Dual-Core Cache L3 : 3MB System Bus 5GT/s Memory,1.7GHz Intel Core i5-3317U Dual-Core. Performance Processor 1.7GHz Intel Core i5-3317U Dual-Core Cache L3 : 3MB System Bus 5GT/s Memory,Type : 1600MHz DDR3 SDRAM,,,Installed : 256GB SSD. Performance Processor 1.7GHz Intel Core i5-3317U Dual-Core Cache L3 : 3MB System Bus 5GT/s Memory,,2.86 lb / 1.30 kg,Performance Processor 1.7GHz Intel Core i5-3317U Dual-Core Cache L3 : 3MB System Bus 5GT/s Memory,"Best Asus ZENBOOK Prime UX31A-XB52-Core i5-3317U 1.70 GHz-4GB RAM-256GB SSD-Win 7 Pro-13.3""Ultrabook-Silver Aluminum | TopEndElectronics UK"
source2__139,,2.40GHz Intel Core i7-3630QM. Performance Processor 2.40GHz Intel Core i7-3630QM Cache L3 : 6MB Memory,2.40GHz Intel Core i7-3630QM. Performance Processor 2.40GHz Intel Core i7-3630QM Cache L3 : 6MB Memory,2.40GHz Intel Core i7-3630QM. Performance Processor 2.40GHz Intel Core i7-3630QM Cache L3 : 6MB Memory,2.40GHz Intel Core i7-3630QM. Performance Processor 2.40GHz Intel Core i7-3630QM Cache L3 : 6MB Memory,Type : 1600MHz DDR3 SDRAM Installed : 8GB,,,Installed : 500GB 7200rpm. Performance Processor 2.40GHz Intel Core i7-3630QM Cache L3 : 6MB Memory,,4.96 lb / 2.25 kg,Performance Processor 2.40GHz Intel Core i7-3630QM Cache L3 : 6MB Memory,"Best HP EliteBook 8470w-C7A68UT-i7-3630QM-8GB-500GB HDD-Win 7-14""LED Notebook | TopEndElectronics UK"
